attainment,gender,degree,country
0.2336578,female,bachelor,2
0.18567229999999998,male,bachelor,2
0.2098663,total,bachelor,2
0.048052599999999994,female,master,2
0.047366099999999994,male,master,2
0.0477119,total,master,2
0.008099499999999999,female,doctoral,2
0.0116462,male,doctoral,2
0.0098578,total,doctoral,2
0.2038668,female,bachelor,6
0.1517808,male,bachelor,6
0.1786906,total,bachelor,6
0.098935,female,master,6
0.1393066,male,master,6
0.11844900000000001,total,master,6
0.0036515999999999996,female,doctoral,6
0.0071530000000000005,male,doctoral,6
0.0053438999999999995,total,doctoral,6
0.1069697,female,bachelor,11
0.1076463,male,bachelor,11
0.1073227,total,bachelor,11
0.2322638,female,bachelor,12
0.2560077,male,bachelor,12
0.243526,total,bachelor,12
0.0037128,female,doctoral,12
0.0071682000000000004,male,doctoral,12
0.0053518,total,doctoral,12
0.1739248725,female,bachelor,13
0.19225875299999998,male,bachelor,13
0.1827937243,total,bachelor,13
0.4441955,female,bachelor,16
0.2901425,male,bachelor,16
0.3716046,total,bachelor,16
0.1385039,female,bachelor,23
0.0971082,male,bachelor,23
0.11877370000000001,total,bachelor,23
0.0662607,female,master,23
0.07506639999999999,male,master,23
0.0704577,total,master,23
0.0046771,female,doctoral,23
0.0054139999999999995,male,doctoral,23
0.0050284,total,doctoral,23
0.3228001,female,bachelor,33
0.2123046,male,bachelor,33
0.272259,total,bachelor,33
0.0053847,female,doctoral,33
0.0038662,male,doctoral,33
0.0046901,total,doctoral,33
0.2823973,female,bachelor,35
0.2301979,male,bachelor,35
0.25942519999999997,total,bachelor,35
0.0043530999999999995,female,doctoral,35
0.0045222000000000005,male,doctoral,35
0.0044275,total,doctoral,35
0.3590802,female,bachelor,36
0.4194118,male,bachelor,36
0.3892815,total,bachelor,36
0.1192818,female,bachelor,39
0.1429301,male,bachelor,39
0.1303255,total,bachelor,39
0.0097812,female,master,39
0.0144698,male,master,39
0.011970799999999998,total,master,39
0.0005535000000000001,female,doctoral,39
0.0011892,male,doctoral,39
0.0008504000000000001,total,doctoral,39
0.1591823,female,bachelor,41
0.17785120000000007,male,bachelor,41
0.16834469999999999,total,bachelor,41
0.0789209,female,master,41
0.1081363,male,master,41
0.09325939999999999,total,master,41
0.0031836,female,doctoral,41
0.0079972,male,doctoral,41
0.005546100000000001,total,doctoral,41
0.044622999999999996,female,bachelor,47
0.0499446,male,bachelor,47
0.047138300000000015,total,bachelor,47
0.19930020000000007,female,master,47
0.1454282,male,master,47
0.1738371,total,master,47
0.0043059,female,doctoral,47
0.006493,male,doctoral,47
0.005339699999999999,total,doctoral,47
0.3448604,female,bachelor,49
0.1707414,male,bachelor,49
0.2051388,total,bachelor,49
0.13490080000000002,female,bachelor,51
0.13570859999999998,male,bachelor,51
0.13528620000000002,total,bachelor,51
0.0,female,master,51
0.0,male,master,51
0.0,total,master,51
0.0061065,female,bachelor,53
0.0132033,male,bachelor,53
0.0104723,total,bachelor,53
0.0024718,female,master,53
0.007474199999999999,male,master,53
0.0055492,total,master,53
0.1026372,female,bachelor,54
0.1117502,male,bachelor,54
0.1069646,total,bachelor,54
0.0045377,female,master,54
0.0050568,male,master,54
0.0047842,total,master,54
0.0024224,female,doctoral,54
0.0032872,male,doctoral,54
0.0028331,total,doctoral,54
0.2515091,female,bachelor,55
0.2971979,male,bachelor,55
0.2733778,total,bachelor,55
0.1852912,female,bachelor,56
0.1717128,male,bachelor,56
0.178811,total,bachelor,56
0.1446945,female,bachelor,61
0.0837337,male,bachelor,61
0.1146417,total,bachelor,61
0.0928926,female,master,61
0.08809610000000002,male,master,61
0.090528,total,master,61
0.0084735,female,doctoral,61
0.0147933,male,doctoral,61
0.011589100000000001,total,doctoral,61
0.1067482,female,bachelor,65
0.15131550000000002,male,bachelor,65
0.128794,total,bachelor,65
0.0093235,female,master,65
0.0138594,male,master,65
0.0115672,total,master,65
0.0026784,female,doctoral,65
0.0042092,male,doctoral,65
0.0034355999999999996,total,doctoral,65
0.009781100000000001,female,bachelor,66
0.015786500000000002,male,bachelor,66
0.0128948,total,bachelor,66
0.16434580000000001,female,bachelor,69
0.16486879999999998,male,bachelor,69
0.1646,total,bachelor,69
0.06282460000000001,female,master,69
0.0613703,male,master,69
0.0621177,total,master,69
0.006296199999999999,female,doctoral,69
0.0121963,male,doctoral,69
0.0091641,total,doctoral,69
